2025-04-05 20:14:40,231 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107893be0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,238 - __main__ - INFO - Error sending request to cache-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:40,325 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781ac50>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,337 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781bbe0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,430 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107819150>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,442 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891690>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,532 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107819cc0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,546 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781abf0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,636 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078902e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,652 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781ab60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,741 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107893010>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,759 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890610>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,846 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891ae0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,862 - __main__ - INFO - Error sending request to cache-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:40,864 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107818730>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,949 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107818fd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:40,967 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107893790>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,067 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781bbe0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,070 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078907c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,171 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781ba30>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,181 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781b1f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,279 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a7d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,284 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078929e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,387 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781aa40>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,389 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891810>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,476 - __main__ - INFO - Error sending request to cache-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:41,495 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a7a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,495 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781b6d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,603 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107892e30>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,604 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890280>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,709 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781bbe0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,709 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a5f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,816 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891810>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,816 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107893580>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,932 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890520>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:41,933 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891120>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,037 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a5f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,040 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a020>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,090 - __main__ - INFO - Error sending request to cache-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:42,143 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078909d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,145 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107893730>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,249 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781aaa0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,250 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781bdf0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,359 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891870>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,359 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078192a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,470 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891f60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,470 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891930>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,581 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781ae60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:42,582 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781b670>: Failed to establish a new connection: [Errno 61] Connection refused'))
